,objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,primaryImage
96,37989,The Churning of the Ocean of Milk,Unidentified artist,ca. 1780–90,"India (Punjab Hill, Mandi)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152318.jpg
97,37990,Krishna Spying on Radha,Unidentified artist,ca. 1780–90,"India (Punjab Hills, Mandi)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152319.jpg
98,37991,The Timid Bride,Unidentified artist,ca. 1800,"India (Punjab Hills, Kangra)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152308.jpg
99,37992,"Abhisarika Nayika, a Heroine Longing for Her Lover",Unidentified artist,ca. 1790–1800,"India (Punjab Hills, Kangra)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152309.jpg
100,37993,Lady Holding a Sparkler,Unidentified artist,ca. 1800,"India (Punjab Hills, Kangra)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153164.jpg
101,38009,Raja Balwant Singh’s Vision of Krishna and Radha,Nainsukh,ca. 1745–50,"India, Punjab Hills, kingdom of Jasrota",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT3740.jpg
102,38012,Melancholy Courtesan,Unidentified artist,ca. 1750,"India (Rajasthan, Bundi, or Kota [?])",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT3878.jpg
103,38013,"The Wrathful Bon Deity Walse Ngampa, One of the Five Fortress Meditational Deities",Unidentified artist,early 15th century,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP146431.jpg
104,38016,Maharaja Sidh Sen Receiving an Embassy,A Master of the Mandi atelier,ca. 1700–10,"India (Himachal Pradesh, Mandi)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT3844.jpg
105,38020,Illustration from a Ragamala Series (Garland of Musical Modes),Unidentified artist,late 18th century,India (Punjab Hills),India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152305_cropped.jpg
106,38022,Krishna with an Ascetic,Unidentified artist,ca.1850,"India (Maharashtra, Marathi)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152328.jpg
107,38023,Folk Painting,Unidentified artist,1725,"India (Rajasthan, Marwar)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152329.jpg
108,38031,Prince with Four Attendants,Sri Prathi Singh of Ratlam,late 18th–early 19th century,India (Rajasthan),India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152295.jpg
109,38032,The Three Roads,Unidentified artist,ca. 1840,India (Hyderabad),India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152296.jpg
110,38035,A Holy Man Seated on a Terrace,Unidentified artist,ca. 1850,"India (Punjab Hills, Kangra)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153170.jpg
111,38038,A Lady Playing the Tanpura,Unidentified artist,ca. 1735,"India (Rajasthan, Kishangarh)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT243.jpg
112,38039,"Mahadevi, the Great Goddess",Unidentified artist,ca. 1725,"India (Rajasthan, Bikaner)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4003.jpg
113,38040,Maharana Jagat Singh Hawks for Cranes,Shiva and Dayal,dated 1744,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4004.jpg
114,38041,A Prince Hunting Boars with His Retinue,Unidentified artist,late 18th–early 19th century,"Western India, Rajasthan, Jhilai",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153172.jpg
115,38042,Maharana Bhim Singh and Retinue Embark on a Hunt,Chokha,ca. 1805–10,"Western India, Rajasthan, Udaipur or Devgarh",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4006.jpg
116,38043,Fortified City of Ranthambhor,Bagta,ca. 1810–18,"India (Jaipur, Rajasthan)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4007.jpg
